Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionRate,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
41,1,1102.0,1.0,2.0,2.0,94.0,3.0,2,4.0,5993.0,19479.0,8,1,11,3,1.0,0,8.0,0,1.0,6.0,4.0,0.0,5.0,6.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
49,0,279.0,8.0,1.0,3.0,61.0,2.0,2,2.0,5130.0,24907.0,1,0,23,4,4.0,1,10.0,3,3.0,10.0,7.0,1.0,7.0,5.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
37,1,1373.0,2.0,2.0,4.0,92.0,2.0,1,3.0,2090.0,2396.0,6,1,15,3,2.0,0,7.0,3,3.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
33,0,1392.0,3.0,4.0,4.0,56.0,3.0,1,3.0,2909.0,23159.0,1,1,11,3,3.0,0,8.0,3,3.0,8.0,7.0,3.0,0.0,2.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
27,0,591.0,2.0,1.0,1.0,40.0,3.0,1,2.0,3468.0,16632.0,9,0,12,3,4.0,1,6.0,3,3.0,2.0,2.0,2.0,2.0,0.667,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
32,0,1005.0,2.0,2.0,4.0,79.0,3.0,1,4.0,3068.0,11864.0,0,0,13,3,3.0,0,8.0,2,2.0,7.0,7.0,3.0,6.0,1.75,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
59,0,1324.0,3.0,3.0,3.0,81.0,4.0,1,1.0,2670.0,9964.0,4,1,20,4,1.0,3,12.0,3,2.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
30,0,1358.0,24.0,1.0,4.0,67.0,3.0,1,3.0,2693.0,13335.0,1,0,22,4,2.0,1,1.0,2,3.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
38,0,216.0,23.0,3.0,4.0,44.0,2.0,3,3.0,9526.0,8787.0,0,0,21,4,2.0,0,10.0,2,3.0,9.0,7.0,1.0,8.0,4.5,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
36,0,1299.0,27.0,3.0,3.0,94.0,3.0,2,3.0,5237.0,16577.0,6,0,13,3,2.0,2,17.0,3,2.0,7.0,7.0,7.0,7.0,0.875,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
35,0,809.0,16.0,3.0,1.0,84.0,4.0,1,2.0,2426.0,16479.0,0,0,13,3,3.0,1,6.0,5,3.0,5.0,4.0,0.0,3.0,5.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
29,0,153.0,15.0,2.0,4.0,49.0,2.0,2,3.0,4193.0,12682.0,0,1,12,3,4.0,0,10.0,3,3.0,9.0,5.0,0.0,8.0,9.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
31,0,670.0,26.0,1.0,1.0,31.0,3.0,1,3.0,2911.0,15170.0,1,0,17,3,4.0,1,5.0,1,2.0,5.0,2.0,4.0,3.0,1.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
